,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
11757,Franconia,10174,Valid,H5,100000.0,Found,2002.0,34.71637,-114.22197,"(34.71637, -114.22197)"
11758,Frankel City,10175,Valid,L6,4700.0,Found,1977.0,32.33333,-102.745,"(32.33333, -102.745)"
11759,Frankfort (iron),10176,Valid,"Iron, IIIAB",10900.0,Found,1866.0,38.2,-84.83333,"(38.2, -84.83333)"
11760,Franklin,10178,Valid,H5,9062.0,Found,1921.0,36.71667,-86.56667,"(36.71667, -86.56667)"
11761,Franklinville,10179,Valid,L6,108.0,Found,1888.0,38.5,-100.0,"(38.5, -100.0)"
11762,Freda,10180,Valid,"Iron, IAB-sLH",268.0,Found,1919.0,46.38333,-101.23333,"(46.38333, -101.23333)"
11763,Fremont Butte,10181,Valid,L4,6647.0,Found,1963.0,38.5,-105.5,"(38.5, -105.5)"
11765,Friona,10184,Valid,L5,21900.0,Found,1981.0,34.54,-102.56833,"(34.54, -102.56833)"
12553,Fuzzy Creek,10841,Valid,"Iron, IVA",2700.0,Found,,31.61111,-99.90417,"(31.61111, -99.90417)"
12554,Gahanna,10842,Valid,"Iron, IAB-MG",1201.0,Found,1950.0,40.01667,-82.86667,"(40.01667, -82.86667)"
12555,Gail,10843,Valid,H4,4650.0,Found,1948.0,32.7,-101.6,"(32.7, -101.6)"
12556,Gaines County Park,10844,Valid,H5,13700.0,Found,1977.0,32.83333,-102.73333,"(32.83333, -102.73333)"
12557,Galatia,10847,Valid,L6,23900.0,Found,1971.0,38.64167,-98.88333,"(38.64167, -98.88333)"
12558,Galleta Flat,52414,Valid,H4,392.0,Found,2009.0,32.00415,-110.37503,"(32.00415, -110.37503)"
12565,Garnett,10862,Valid,H4,4788.0,Found,1938.0,38.26667,-95.25,"(38.26667, -95.25)"
12567,Garrison,10864,Valid,H5,5116.0,Found,1969.0,33.86333,-103.34667,"(33.86333, -103.34667)"
12570,Gaylord,10868,Valid,H4,8480.0,Found,1983.0,39.61667,-98.7,"(39.61667, -98.7)"
12605,Georgetown,10904,Valid,H6,687.0,Found,1967.0,39.7,-105.7,"(39.7, -105.7)"
12615,Gila Bend,30664,Valid,L5,3700.0,Found,2000.0,33.03333,-112.61667,"(33.03333, -112.61667)"
12620,Gladstone (stone),10921,Valid,H4,57300.0,Found,1936.0,36.3,-104.0,"(36.3, -104.0)"
12621,Glasgow,10927,Valid,"Iron, IIIAB",20400.0,Found,1922.0,37.01667,-85.91667,"(37.01667, -85.91667)"
12622,Glasston,10928,Valid,L5,1990.0,Found,1969.0,48.71667,-97.3,"(48.71667, -97.3)"
12623,Glen Rose (iron),10932,Valid,"Iron, ungrouped",11000.0,Found,1934.0,32.25,-97.71667,"(32.25, -97.71667)"
12626,Glorieta Mountain,10935,Valid,"Pallasite, PMG-an",148000.0,Found,1884.0,35.6,-105.8,"(35.6, -105.8)"
12630,Gold Basin,10940,Valid,L4,61000.0,Found,1995.0,35.875,-114.23333,"(35.875, -114.23333)"
12631,Golden Mile,10941,Valid,H4,378.8,Found,2000.0,35.89,-114.16667,"(35.89, -114.16667)"
